,index,Unnamed: 0,Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
20,20,20,Medium Risk,Ballard,2318 NW Market St,1911,1,No visible retrofit,Commercial,101+,Field Visit,47.668871,-122.38707
21,21,21,Medium Risk,Ballard,923 NW 54th St,0,1,No visible retrofit,Government,10-Jan,Permit Drawing Review,47.6674414,-122.369546
22,22,22,Medium Risk,Ballard,4711 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit,47.662895500000005,-122.37939850000001
23,23,23,Medium Risk,Ballard,4722 Ballard Ave NW,1902,2,Visible retrofit,Commercial,11-100,Field Visit,47.6636791,-122.37966940000001
24,24,24,High Risk,Ballard,4743 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit,47.663525,-122.3802179
25,25,25,Medium Risk,Ballard,5000 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6656046,-122.3819239
26,26,26,Medium Risk,Ballard,5006 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,36.778261,-119.4179324
27,27,27,Medium Risk,Ballard,5100 Ballard Ave NW,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit,47.6646081,-122.38084509999999
28,28,28,Medium Risk,Ballard,5101 Ballard Ave NW,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,47.664398600000006,-122.38122859999999
29,29,29,Medium Risk,Ballard,5109 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit,47.66458,-122.3813956
30,30,30,Medium Risk,Ballard,5129 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6650248,-122.3818879
31,31,31,Medium Risk,Ballard,5130 Ballard Ave NW,1900,1,Visible retrofit,Commercial,101+,Field Visit,47.6653464,-122.38154140000002
32,32,32,Medium Risk,Ballard,5135 Ballard Ave NW,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit,47.665129799999995,-122.3819287
33,33,33,Medium Risk,Ballard,5140 Ballard Ave NW,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes,47.6655294,-122.38178710000001
34,34,34,Medium Risk,Ballard,5144 Ballard Ave NW,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6655423,-122.38187820000002
35,35,35,Medium Risk,Ballard,5200 Ballard Ave NW,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit,47.6658493,-122.3823074
36,36,36,Critical Risk,Ballard,5201 Ballard Ave NW,1915,2,No visible retrofit,Schools,101+,Field Visit,47.665476500000004,-122.38242609999999
37,37,37,Medium Risk,Ballard,5205 Ballard Ave NW,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.66556129999999,-122.382497
38,38,38,High Risk,Ballard,5215 Ballard Ave NW,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,47.6656581,-122.38285090000001
39,39,39,Medium Risk,Ballard,5218 20th Ave NW,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View,47.6673549,-122.38194469999999
40,40,40,Medium Risk,Ballard,5221 Ballard Ave NW,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review,47.6658434,-122.38289350000001
41,41,41,Medium Risk,Ballard,5227 Leary Ave NW,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit,47.6661239,-122.3818015
42,42,42,Medium Risk,Ballard,5229 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.6660071,-122.38311470000001
43,43,43,Medium Risk,Ballard,5232 Ballard Ave NW,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review,47.6662941,-122.38274550000001
44,44,44,Medium Risk,Ballard,5233 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Field Visit,47.6661619,-122.38320859999999
45,45,45,Medium Risk,Ballard,5239 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6662152,-122.38331140000001
46,46,46,Medium Risk,Ballard,5242 Shilshole Ave NW,1926,1,No visible retrofit,Industrial,11-100,Field Visit,47.6657096,-122.3833175
47,47,47,Medium Risk,Ballard,5300 Ballard Ave NW,1902,2,No visible retrofit,Residential,11-100,Field Visit,47.666621,-122.3830345
48,48,48,High Risk,Ballard,5307 Ballard Ave NW,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.666437,-122.38366599999999
49,49,49,Medium Risk,Ballard,5310 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.666788000000004,-122.38334499999999
50,50,50,Medium Risk,Ballard,5313 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6665588,-122.38375479999999
51,51,51,Medium Risk,Ballard,5323 Ballard Ave NW,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,47.666799,-122.38403149999999
52,52,52,Medium Risk,Ballard,5333 Ballard Ave NW,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View,47.667062,-122.38426100000001
53,53,53,Medium Risk,Ballard,5335 Ballard Ave NW,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,47.6671502,-122.38425009999999
54,54,54,Medium Risk,Ballard,5337 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.667123,-122.3843669
55,55,55,Medium Risk,Ballard,5344 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records,47.6675828,-122.3841061
56,56,56,Medium Risk,Ballard,5345 Ballard Ave NW,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.667346200000004,-122.38448329999999
57,57,57,Medium Risk,Ballard,5348 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit,47.667702,-122.38427859999999
58,58,58,Medium Risk,Ballard,5354 Ballard Ave NW,1903,1,Visible retrofit,Commercial,11-100,Field Visit,47.6677565,-122.38443889999999
59,59,59,Medium Risk,Ballard,5403 Ballard Ave NW,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.667680100000005,-122.38507320000001
60,60,60,Medium Risk,Ballard,5405 Leary Ave NW,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit,47.666872,-122.38282990000002
61,61,61,High Risk,Ballard,5414 Ballard Ave NW,1908,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.667968200000004,-122.38527450000001
62,62,62,Medium Risk,Ballard,5419 Ballard Ave NW,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.667849,-122.38556200000001
63,63,63,Medium Risk,Ballard,5424 Ballard Ave NW,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View,47.668396200000004,-122.3855011
64,64,64,Medium Risk,Ballard,5425 Ballard Ave NW,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.667974,-122.38560530000001
65,65,65,Medium Risk,Ballard,5425 Russell Ave NW,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View,47.668375899999994,-122.38303429999999
66,66,66,Medium Risk,Ballard,5429 Ballard Ave NW,1923,1,No visible retrofit,Commercial,11-100,Field Visit,47.6679765,-122.3858409
67,67,67,Medium Risk,Ballard,5443 Ballard Ave NW,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit,47.668317,-122.3862375
68,68,68,Medium Risk,Ballard,5449 Ballard Ave NW,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.668389700000006,-122.3863472
69,69,69,Medium Risk,Ballard,5463 Leary Ave NW,1950,1,No visible retrofit,Commercial,11-100,Field Visit,47.6680671,-122.3841301
70,70,70,Critical Risk,Ballard,5800 15th Ave NW,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.671133399999995,-122.3759645
71,71,71,Medium Risk,Ballard,5814 22nd Ave NW,1928,4,No visible retrofit,Residential,11-100,Field Visit,47.6714287,-122.3843843
72,72,72,Critical Risk,Beacon Hill,5117 13th Ave S,1919,3,Permitted Retrofit,Schools,101+,Google Street View,47.555899100000005,-122.3164163
73,73,73,Medium Risk,Beacon Hill,5710 Airport Way S,1914,2,No visible retrofit,Commercial,101+,Google Street View,37.7925715,-121.25166940000001
74,74,74,High Risk,Beacon Hill,5840 Airport Way S,1903,4,No visible retrofit,Commercial,11-100,Google Street View,37.7925494,-121.25166940000001
75,75,75,Medium Risk,Beacon Hill,5900 Airport Way S,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View,37.7925391,-121.25166940000001
76,76,76,Medium Risk,Beacon Hill,5919 Airport Way S,1900,2,No visible retrofit,Residential,11-100,Google Street View,37.8069771,-121.25288219999999
77,77,77,Medium Risk,Beacon Hill,6010 Airport Way S,1910,2,No visible retrofit,Office,11-100,Google Street View,37.792520399999994,-121.25166940000001
78,78,78,Medium Risk,Belltown,11 Vine St,1911,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,37.9695204,-122.57026029999999
79,79,79,Medium Risk,Belltown,112 Stewart St,1909,8,Substantial Alteration,Commercial/Residential,101+,Photos from Previous Surveys,36.778261,-119.4179324
80,80,80,Medium Risk,Belltown,115 Blanchard St,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,47.6128597,-122.34440259999998
81,81,81,Medium Risk,Belltown,1617 Post Al,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,33.7266211,-117.9000455
82,82,82,Medium Risk,Belltown,1901 3rd Ave,1916,2,No visible retrofit,Commercial,101+,Google Street View,34.062199799999995,-118.2701807
84,84,84,Medium Risk,Belltown,1907 1st Ave,1914,6,No visible retrofit,Commercial/Residential,101+,Google Street View,47.610344399999995,-122.3418027
85,85,85,Medium Risk,Belltown,1914 Post Al,1910,5,No visible retrofit,Commercial/Office,101+,Google Street View,37.09024,-95.712891
86,86,86,Medium Risk,Belltown,1918 1st Ave,1909,6,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,40.784823700000004,-73.943274
87,87,87,Medium Risk,Belltown,1920 Post Al,1910,5,Substantial Alteration,Commercial/Office,101+,Field Visit,33.7921963,-118.19340509999999
88,88,88,Medium Risk,Belltown,1921 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,32.7253669,-117.1628753
89,89,89,Medium Risk,Belltown,1921 3rd Ave,1910,6,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,36.7119647,-119.56437050000001
90,90,90,Medium Risk,Belltown,1924 1st Ave,1909,5,Visible retrofit,Commercial/Office,101+,Google Street View,34.2903058,-118.44674180000001
92,92,92,Medium Risk,Belltown,1929 3rd Ave,1914,3,Substantial Alteration,Commercial/Office,101+,Google Street View,44.9628315,-93.27238220000001
94,94,94,Medium Risk,Belltown,2001 3rd Ave,1919,2,No visible retrofit,Commercial/Office,101+,Google Street View,34.116699100000005,-118.0238006
95,95,95,Medium Risk,Belltown,2006 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,32.7265831,-117.16309640000001
96,96,96,Medium Risk,Belltown,2012 2nd Ave,1924,1,Visible retrofit,Commercial,11-100,Google Street View,37.599066,-120.9551173
97,97,97,Medium Risk,Belltown,2018 1st Ave,1908,3,Permitted Retrofit,Commercial/Office,11-100,Photos from Previous Surveys,36.778261,-119.4179324
98,98,98,Medium Risk,Belltown,2030 1st Ave,1918,3,Visible retrofit,Commercial/Office,101+,Google Street View,47.6118309,-122.34347050000001
99,99,99,Medium Risk,Belltown,2100 1st Ave,1920,1,Permitted Retrofit,Commercial/Office,101+,Google Street View,32.7273706,-117.1642039
100,100,100,Medium Risk,Belltown,2101 1st Ave,1901,5,Visible retrofit,Commercial/Residential,101+,Google Street View,38.2974555,-122.2961608
101,101,101,Medium Risk,Belltown,2101 3rd Ave,1926,1,Permitted Retrofit,Commercial,10-Jan,Photos from Previous Surveys,38.570477200000006,-121.50780420000001
102,102,102,Medium Risk,Belltown,2106 2nd Ave,1919,2,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
103,103,103,Medium Risk,Belltown,2110 Western Ave,1923,2,Visible retrofit,Commercial/Office,101+,Google Street View,38.0160191,-121.89027649999998
104,104,104,Medium Risk,Belltown,2111 3rd Ave,1923,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,34.037703,-118.320396
105,105,105,Medium Risk,Belltown,2112 1st Ave,1904,2,Visible retrofit,Commercial,101+,Google Street View,40.763368,-73.95924000000001
106,106,106,Medium Risk,Belltown,2114 Western Ave,1902,2,No visible retrofit,Commercial,11-100,Google Street View,34.0377023,-118.3090842
107,107,107,Medium Risk,Belltown,2119 2nd Ave,1909,4,Visible retrofit,Other Mixed Uses,11-100,Google Street View,36.778261,-119.4179324
108,108,108,Medium Risk,Belltown,2121 1st Ave,1926,1,No visible retrofit,Commercial,101+,Google Street View,32.7274176,-117.1636525
109,109,109,Medium Risk,Belltown,2132 2nd Ave,1918,6,No visible retrofit,Residential,11-100,Google Street View,40.7929253,-73.94041379999999
110,110,110,Medium Risk,Belltown,2133 3rd Ave,1928,2,No visible retrofit,Office,11-100,Google Street View,40.798221000000005,-73.939454
111,111,111,Medium Risk,Belltown,2136 1st Ave,1925,1,No visible retrofit,Commercial,101+,Field Visit,36.770213,-119.7722122
112,112,112,Medium Risk,Belltown,2137 2nd Ave,1927,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,47.613074600000004,-122.34439850000001
113,113,113,Medium Risk,Belltown,2200 Western Ave,1909,5,Substantial Alteration,Commercial,101+,Google Street View,34.0370729,-118.3089108
114,114,114,Medium Risk,Belltown,2201 1st Ave,1900,4,Visible retrofit,Commercial/Residential,101+,Google Street View,32.7282354,-117.1639071
115,115,115,Medium Risk,Belltown,2204 1st Ave,1910,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,33.7648117,-118.1653085
116,116,116,Medium Risk,Belltown,2205 2nd Ave,1923,6,No visible retrofit,Commercial/Residential,101+,Google Street View,47.613279,-122.34474650000001
117,117,117,Medium Risk,Belltown,2209 1st Ave,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,38.297599700000006,-122.29736609999999
118,118,118,Medium Risk,Belltown,2212 1st Ave,1909,3,Visible retrofit,Commercial/Residential,101+,Google Street View,36.778261,-119.4179324
119,119,119,Medium Risk,Belltown,2218 1st Ave,1920,1,Permitted Retrofit,Commercial,101+,Google Street View,34.144038,-117.64921399999999
120,120,120,High Risk,Belltown,2220 Western Ave,1913,2,Permitted Retrofit,Public Assembly,101+,Google Street View,38.2269797,-122.6646976
121,121,121,Medium Risk,Belltown,2221 3rd Ave,1914,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,38.553520500000005,-121.4853835
122,122,122,High Risk,Belltown,2222 2nd Ave,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,34.1133273,-118.02423519999999
123,123,123,Medium Risk,Belltown,2224 2nd Ave,1911,3,No visible retrofit,Commercial/Residential,101+,Google Street View,47.6140347,-122.34500049999998
124,124,124,Medium Risk,Belltown,2231 2nd Ave,1900,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,47.6137344,-122.34563999999999
125,125,125,Medium Risk,Belltown,2234 2nd Ave,1924,1,No visible retrofit,Commercial,101+,Field Visit,35.59996029999999,-119.35102959999999
126,126,126,Medium Risk,Belltown,2300 1st Ave,1900,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,37.682754200000005,-121.7679371
127,127,127,Medium Risk,Belltown,2301 1st Ave,1902,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,32.7292906,-117.1639229
128,128,128,Medium Risk,Belltown,2303 Western Ave,1908,3,Permitted Retrofit,Other Mixed Uses,11-100,Google Street View,33.724064399999996,-118.311741
129,129,129,Medium Risk,Belltown,2320 1st Ave,1888,4,No visible retrofit,Other Mixed Uses,11-100,Google Street View,34.160146000000005,-117.34931
130,130,130,Medium Risk,Belltown,2327 2nd Ave,1924,3,No visible retrofit,Residential,101+,Google Street View,47.614388299999995,-122.34686070000001
131,131,131,Medium Risk,Belltown,2401 1st Ave,1900,4,Permitted Retrofit,Commercial,101+,Google Street View,32.730326,-117.1639267
132,132,132,Medium Risk,Belltown,2407 1st Ave,0,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.0437115,-118.2092811
133,133,133,Medium Risk,Belltown,2408 2nd Ave,1923,3,Visible retrofit,Residential,101+,Google Street View,32.7305604,-117.16321599999999
134,134,134,Medium Risk,Belltown,2420 2nd Ave,1928,1,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
135,135,135,Medium Risk,Belltown,2423 1st Ave,1909,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,36.778261,-119.4179324
136,136,136,Critical Risk,Belltown,2501 Elliott Ave,1910,4,Substantial Alteration,Schools,101+,Permit Drawing Review,47.613461,-122.350958
137,137,137,Medium Risk,Belltown,2515 Western Ave,1917,2,No visible retrofit,Other Mixed Uses,101+,Sandborn Insurance Maps,33.7226403,-118.3138205
138,138,138,Medium Risk,Belltown,2604 1st Ave,1903,3,No visible retrofit,Commercial/Residential,101+,Google Street View,33.7640138,-118.16184390000001
139,139,139,High Risk,Belltown,2800 1st Ave,1942,3,No visible retrofit,Public Assembly,101+,Google Street View,34.04122279999999,-118.2046377
140,140,140,Medium Risk,Belltown,2819 Elliott Ave,1902,2,Substantial Alteration,Commercial/Office,101+,Google Street View,47.6152707,-122.3541512
141,141,141,High Risk,Belltown,2905 1st Ave,1924,5,Permitted Retrofit,Residential,11-100,Google Street View,33.7638336,-118.1581873
142,142,142,Medium Risk,Belltown,2933 2nd Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View,47.6181119,-122.35301770000001
143,143,143,Medium Risk,Belltown,3016 1st Ave,1910,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,32.7492929,-117.1641294
144,144,144,Medium Risk,Belltown,3025 1st Ave,1925,1,No visible retrofit,Commercial,101+,Google Street View,47.618099,-122.35507700000001
145,145,145,Medium Risk,Belltown,81 Vine St,1914,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.6146552,-122.35013640000001
146,146,146,Medium Risk,Belltown,87 Wall St,1912,2,No visible retrofit,Office,11-100,Google Street View,34.0364984,-118.2541629
147,147,147,Medium Risk,Broadview/Bitter Lake,12431 Greenwood Ave N,1929,1,No visible retrofit,Commercial,11-100,Google Street View,47.7194718,-122.3559619
148,148,148,Critical Risk,Broadview/Bitter Lake,415 N 117th St,1938,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.713842299999996,-122.3535149
149,149,149,Critical Risk,Capitol Hill,1002 E Seneca St,1922,1,Substantial Alteration,Schools,101+,Photos from Previous Surveys,32.246757099999996,-110.95677690000001
150,150,150,Medium Risk,Capitol Hill,1020 E Denny Way,1907,3,No visible retrofit,Residential,11-100,Permit Drawing Review,47.61898,-122.318542
151,151,151,Medium Risk,Capitol Hill,105 Harvard Ave E,1928,5,No visible retrofit,Residential,101+,Google Street View,47.6189251,-122.32245559999998
152,152,152,Medium Risk,Capitol Hill,1100 E Pike St,1912,3,Visible retrofit,Commercial/Office,11-100,Google Street View,47.614231,-122.3179637
153,153,153,Medium Risk,Capitol Hill,1101 E Pike St,1911,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys,47.613876700000006,-122.3178875
154,154,154,Medium Risk,Capitol Hill,1107 E Denny Way,1910,3,No visible retrofit,Residential,11-100,Field Visit,47.618575,-122.3178587
155,155,155,Medium Risk,Capitol Hill,111 Broadway E,1927,1,Visible retrofit,Commercial,11-100,Google Street View,33.841494700000005,-118.38732730000001
156,156,156,Critical Risk,Capitol Hill,1115 Harvard Ave,1910,2,No visible retrofit,Schools,101+,Google Street View,34.038753,-118.47661070000001
157,157,157,Medium Risk,Capitol Hill,1134 Broadway,1927,1,No visible retrofit,Commercial,101+,Google Street View,38.2461711,-122.04816480000001
158,158,158,Medium Risk,Capitol Hill,115 Belmont Ave E,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.619044,-122.324385
159,159,159,Medium Risk,Capitol Hill,1201 Pine St,1912,1,No visible retrofit,Commercial,11-100,Field Visit,37.8128649,-122.3002078
160,160,160,High Risk,Capitol Hill,1213 E Pine St,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,33.9107289,-118.2101361
161,161,161,Medium Risk,Capitol Hill,1215 Seneca St,1928,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,47.611537,-122.32426470000001
162,162,162,Medium Risk,Capitol Hill,1222 Summit Ave,1916,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.612376399999995,-122.3242172
163,163,163,Medium Risk,Capitol Hill,1224 Madison St,1924,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,35.3412006,-118.9945473
164,164,164,Medium Risk,Capitol Hill,1305 E Denny Way,1922,3,No visible retrofit,Residential,11-100,Field Visit,47.618625099999996,-122.31525320000001
165,165,165,Medium Risk,Capitol Hill,1305 E Madison St,1907,4,No visible retrofit,Residential,11-100,Google Street View,33.7961132,-117.83982009999998
166,166,166,Medium Risk,Capitol Hill,1319 E Madison St,1920,2,No visible retrofit,Commercial,11-100,Google Street View,37.965196399999996,-121.2975485
167,167,167,Medium Risk,Capitol Hill,1325 E Madison St,1937,1,No visible retrofit,Commercial,101+,Google Street View,47.613694,-122.3144219
168,168,168,Medium Risk,Capitol Hill,135 Harvard Ave E,1927,4,No visible retrofit,Residential,11-100,Google Street View,36.7742217,-119.81010719999999
169,169,169,Medium Risk,Capitol Hill,1351 E Olive Way,1925,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.616592700000005,-122.3276775
170,170,170,Medium Risk,Capitol Hill,1400 Broadway,1911,2,No visible retrofit,Commercial,11-100,Google Street View,32.7159732,-117.151728
171,171,171,Medium Risk,Capitol Hill,1401 12th Ave,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.046371,-118.325499
172,172,172,Medium Risk,Capitol Hill,1406 Harvard Ave,1908,2,Visible retrofit,Residential,11-100,Field Visit,33.651289500000004,-117.83540390000002
173,173,173,Medium Risk,Capitol Hill,1412 12th Ave,1919,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,34.0459269,-118.32507690000001
174,174,174,Medium Risk,Capitol Hill,1412 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Field Visit,47.613414399999996,-122.3252027
175,175,175,Medium Risk,Capitol Hill,1414 Broadway,1907,2,No visible retrofit,Commercial,11-100,Field Visit,38.561903799999996,-121.494619
176,176,176,Medium Risk,Capitol Hill,1414 E Denny Way,1915,4,No visible retrofit,Residential,11-100,Google Street View,47.6189611,-122.3135363
177,177,177,Medium Risk,Capitol Hill,1414 Seneca St,1918,4,No visible retrofit,Residential,11-100,Google Street View,47.612643,-122.32261000000001
178,178,178,Critical Risk,Capitol Hill,1415 Summit Ave,1904,2,Permitted Retrofit,Schools,101+,Google Street View,37.883744,-122.2467994
179,179,179,Medium Risk,Capitol Hill,1420 Broadway,1904,2,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,36.9754257,-122.00637759999998
180,180,180,Medium Risk,Capitol Hill,1421 15th Ave,1907,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,36.778261,-119.4179324
181,181,181,Medium Risk,Capitol Hill,1423 10th Ave,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.6136109,-122.31980290000001
182,182,182,Medium Risk,Capitol Hill,1424 10th Ave,1913,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.020274,-118.489139
183,183,183,Medium Risk,Capitol Hill,1450 E Republican St,1926,3,No visible retrofit,Residential,11-100,Google Street View,47.6233619,-122.31326340000001
184,184,184,High Risk,Capitol Hill,1500 Bellevue Ave,1910,3,No visible retrofit,Public Assembly,101+,Field Visit,34.069251200000004,-118.25830859999999
185,185,185,Medium Risk,Capitol Hill,1501 E Olive Way,1916,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.617948999999996,-122.32591210000001
186,186,186,Medium Risk,Capitol Hill,1505 10th Ave,1910,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.614373799999996,-122.3196152
187,187,187,Medium Risk,Capitol Hill,1505 Broadway,1913,2,No visible retrofit,Commercial,101+,Permit Drawing Review,36.976345,-122.0055781
188,188,188,High Risk,Capitol Hill,1506 11th Ave,1916,2,No visible retrofit,Public Assembly,101+,Field Visit,36.778261,-119.4179324
189,189,189,High Risk,Capitol Hill,1510 E Olive Way,1924,3,No visible retrofit,Public Assembly,101+,Field Visit,47.618068900000004,-122.32617309999999
