Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
Medium Risk,Ballard,5449 Ballard Ave NW,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.6683897,-122.3863472
Medium Risk,Ballard,5463 Leary Ave NW,1950,1,No visible retrofit,Commercial,11-100,Field Visit,47.6680671,-122.3841301
Critical Risk,Ballard,5800 15th Ave NW,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6711334,-122.3759645
Medium Risk,Ballard,5814 22nd Ave NW,1928,4,No visible retrofit,Residential,11-100,Field Visit,47.6714287,-122.3843843
Critical Risk,Beacon Hill,5117 13th Ave S,1919,3,Permitted Retrofit,Schools,101+,Google Street View,47.5558991,-122.3164163
Medium Risk,Beacon Hill,5710 Airport Way S,1914,2,No visible retrofit,Commercial,101+,Google Street View,37.7925715,-121.2516694
High Risk,Beacon Hill,5840 Airport Way S,1903,4,No visible retrofit,Commercial,11-100,Google Street View,37.7925494,-121.2516694
Medium Risk,Beacon Hill,5900 Airport Way S,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View,37.7925391,-121.2516694
Medium Risk,Beacon Hill,5919 Airport Way S,1900,2,No visible retrofit,Residential,11-100,Google Street View,37.8069771,-121.2528822
Medium Risk,Beacon Hill,6010 Airport Way S,1910,2,No visible retrofit,Office,11-100,Google Street View,37.7925204,-121.2516694
Medium Risk,Belltown,11 Vine St,1911,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,37.9695204,-122.5702603
Medium Risk,Belltown,112 Stewart St,1909,8,Substantial Alteration,Commercial/Residential,101+,Photos from Previous Surveys,36.778261,-119.4179324
Medium Risk,Belltown,115 Blanchard St,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,47.6128597,-122.3444026
Medium Risk,Belltown,1617 Post Al,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,33.7266211,-117.9000455
Medium Risk,Belltown,1901 3rd Ave,1916,2,No visible retrofit,Commercial,101+,Google Street View,34.0621998,-118.2701807
Medium Risk,Belltown,1907 1st Ave,1914,6,No visible retrofit,Commercial/Residential,101+,Google Street View,47.6103444,-122.3418027
Medium Risk,Belltown,1914 Post Al,1910,5,No visible retrofit,Commercial/Office,101+,Google Street View,37.09024,-95.712891
Medium Risk,Belltown,1918 1st Ave,1909,6,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,40.7848237,-73.943274
Medium Risk,Belltown,1920 Post Al,1910,5,Substantial Alteration,Commercial/Office,101+,Field Visit,33.7921963,-118.1934051
Medium Risk,Belltown,1921 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,32.7253669,-117.1628753
Medium Risk,Belltown,1921 3rd Ave,1910,6,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,36.7119647,-119.5643705
Medium Risk,Belltown,1924 1st Ave,1909,5,Visible retrofit,Commercial/Office,101+,Google Street View,34.2903058,-118.4467418
Medium Risk,Belltown,1929 3rd Ave,1914,3,Substantial Alteration,Commercial/Office,101+,Google Street View,44.9628315,-93.2723822
Medium Risk,Belltown,2001 3rd Ave,1919,2,No visible retrofit,Commercial/Office,101+,Google Street View,34.1166991,-118.0238006
Medium Risk,Belltown,2006 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View,32.7265831,-117.1630964
Medium Risk,Belltown,2012 2nd Ave,1924,1,Visible retrofit,Commercial,11-100,Google Street View,37.599066,-120.9551173
Medium Risk,Belltown,2018 1st Ave,1908,3,Permitted Retrofit,Commercial/Office,11-100,Photos from Previous Surveys,36.778261,-119.4179324
Medium Risk,Belltown,2030 1st Ave,1918,3,Visible retrofit,Commercial/Office,101+,Google Street View,47.6118309,-122.3434705
Medium Risk,Belltown,2100 1st Ave,1920,1,Permitted Retrofit,Commercial/Office,101+,Google Street View,32.7273706,-117.1642039
Medium Risk,Belltown,2101 1st Ave,1901,5,Visible retrofit,Commercial/Residential,101+,Google Street View,38.2974555,-122.2961608
Medium Risk,Belltown,2101 3rd Ave,1926,1,Permitted Retrofit,Commercial,10-Jan,Photos from Previous Surveys,38.5704772,-121.5078042
Medium Risk,Belltown,2106 2nd Ave,1919,2,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Belltown,2110 Western Ave,1923,2,Visible retrofit,Commercial/Office,101+,Google Street View,38.0160191,-121.8902765
Medium Risk,Belltown,2111 3rd Ave,1923,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,34.037703,-118.320396
Medium Risk,Belltown,2112 1st Ave,1904,2,Visible retrofit,Commercial,101+,Google Street View,40.763368,-73.95924
Medium Risk,Belltown,2114 Western Ave,1902,2,No visible retrofit,Commercial,11-100,Google Street View,34.0377023,-118.3090842
Medium Risk,Belltown,2119 2nd Ave,1909,4,Visible retrofit,Other Mixed Uses,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Belltown,2121 1st Ave,1926,1,No visible retrofit,Commercial,101+,Google Street View,32.7274176,-117.1636525
Medium Risk,Belltown,2132 2nd Ave,1918,6,No visible retrofit,Residential,11-100,Google Street View,40.7929253,-73.9404138
Medium Risk,Belltown,2133 3rd Ave,1928,2,No visible retrofit,Office,11-100,Google Street View,40.798221,-73.939454
Medium Risk,Belltown,2136 1st Ave,1925,1,No visible retrofit,Commercial,101+,Field Visit,36.770213,-119.7722122
Medium Risk,Belltown,2137 2nd Ave,1927,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,47.6130746,-122.3443985
Medium Risk,Belltown,2200 Western Ave,1909,5,Substantial Alteration,Commercial,101+,Google Street View,34.0370729,-118.3089108
Medium Risk,Belltown,2201 1st Ave,1900,4,Visible retrofit,Commercial/Residential,101+,Google Street View,32.7282354,-117.1639071
Medium Risk,Belltown,2204 1st Ave,1910,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,33.7648117,-118.1653085
Medium Risk,Belltown,2205 2nd Ave,1923,6,No visible retrofit,Commercial/Residential,101+,Google Street View,47.613279,-122.3447465
Medium Risk,Belltown,2209 1st Ave,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,38.2975997,-122.2973661
Medium Risk,Belltown,2212 1st Ave,1909,3,Visible retrofit,Commercial/Residential,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Belltown,2218 1st Ave,1920,1,Permitted Retrofit,Commercial,101+,Google Street View,34.144038,-117.649214
High Risk,Belltown,2220 Western Ave,1913,2,Permitted Retrofit,Public Assembly,101+,Google Street View,38.2269797,-122.6646976
Medium Risk,Belltown,2221 3rd Ave,1914,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,38.5535205,-121.4853835
High Risk,Belltown,2222 2nd Ave,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,34.1133273,-118.0242352
Medium Risk,Belltown,2224 2nd Ave,1911,3,No visible retrofit,Commercial/Residential,101+,Google Street View,47.6140347,-122.3450005
Medium Risk,Belltown,2231 2nd Ave,1900,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,47.6137344,-122.34564
Medium Risk,Belltown,2234 2nd Ave,1924,1,No visible retrofit,Commercial,101+,Field Visit,35.5999603,-119.3510296
Medium Risk,Belltown,2300 1st Ave,1900,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,37.6827542,-121.7679371
Medium Risk,Belltown,2301 1st Ave,1902,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,32.7292906,-117.1639229
Medium Risk,Belltown,2303 Western Ave,1908,3,Permitted Retrofit,Other Mixed Uses,11-100,Google Street View,33.7240644,-118.311741
Medium Risk,Belltown,2320 1st Ave,1888,4,No visible retrofit,Other Mixed Uses,11-100,Google Street View,34.160146,-117.34931
Medium Risk,Belltown,2327 2nd Ave,1924,3,No visible retrofit,Residential,101+,Google Street View,47.6143883,-122.3468607
Medium Risk,Belltown,2401 1st Ave,1900,4,Permitted Retrofit,Commercial,101+,Google Street View,32.730326,-117.1639267
Medium Risk,Belltown,2407 1st Ave,0,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.0437115,-118.2092811
Medium Risk,Belltown,2408 2nd Ave,1923,3,Visible retrofit,Residential,101+,Google Street View,32.7305604,-117.163216
Medium Risk,Belltown,2420 2nd Ave,1928,1,No visible retrofit,Office,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Belltown,2423 1st Ave,1909,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,36.778261,-119.4179324
Critical Risk,Belltown,2501 Elliott Ave,1910,4,Substantial Alteration,Schools,101+,Permit Drawing Review,47.613461,-122.350958
Medium Risk,Belltown,2515 Western Ave,1917,2,No visible retrofit,Other Mixed Uses,101+,Sandborn Insurance Maps,33.7226403,-118.3138205
Medium Risk,Belltown,2604 1st Ave,1903,3,No visible retrofit,Commercial/Residential,101+,Google Street View,33.7640138,-118.1618439
High Risk,Belltown,2800 1st Ave,1942,3,No visible retrofit,Public Assembly,101+,Google Street View,34.0412228,-118.2046377
Medium Risk,Belltown,2819 Elliott Ave,1902,2,Substantial Alteration,Commercial/Office,101+,Google Street View,47.6152707,-122.3541512
High Risk,Belltown,2905 1st Ave,1924,5,Permitted Retrofit,Residential,11-100,Google Street View,33.7638336,-118.1581873
Medium Risk,Belltown,2933 2nd Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View,47.6181119,-122.3530177
Medium Risk,Belltown,3016 1st Ave,1910,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,32.7492929,-117.1641294
Medium Risk,Belltown,3025 1st Ave,1925,1,No visible retrofit,Commercial,101+,Google Street View,47.618099,-122.355077
Medium Risk,Belltown,81 Vine St,1914,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.6146552,-122.3501364
Medium Risk,Belltown,87 Wall St,1912,2,No visible retrofit,Office,11-100,Google Street View,34.0364984,-118.2541629
Medium Risk,Broadview/Bitter Lake,12431 Greenwood Ave N,1929,1,No visible retrofit,Commercial,11-100,Google Street View,47.7194718,-122.3559619
Critical Risk,Broadview/Bitter Lake,415 N 117th St,1938,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.7138423,-122.3535149
Critical Risk,Capitol Hill,1002 E Seneca St,1922,1,Substantial Alteration,Schools,101+,Photos from Previous Surveys,32.2467571,-110.9567769
Medium Risk,Capitol Hill,1020 E Denny Way,1907,3,No visible retrofit,Residential,11-100,Permit Drawing Review,47.61898,-122.318542
Medium Risk,Capitol Hill,105 Harvard Ave E,1928,5,No visible retrofit,Residential,101+,Google Street View,47.6189251,-122.3224556
Medium Risk,Capitol Hill,1100 E Pike St,1912,3,Visible retrofit,Commercial/Office,11-100,Google Street View,47.614231,-122.3179637
Medium Risk,Capitol Hill,1101 E Pike St,1911,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys,47.6138767,-122.3178875
Medium Risk,Capitol Hill,1107 E Denny Way,1910,3,No visible retrofit,Residential,11-100,Field Visit,47.618575,-122.3178587
Medium Risk,Capitol Hill,111 Broadway E,1927,1,Visible retrofit,Commercial,11-100,Google Street View,33.8414947,-118.3873273
Critical Risk,Capitol Hill,1115 Harvard Ave,1910,2,No visible retrofit,Schools,101+,Google Street View,34.038753,-118.4766107
Medium Risk,Capitol Hill,1134 Broadway,1927,1,No visible retrofit,Commercial,101+,Google Street View,38.2461711,-122.0481648
Medium Risk,Capitol Hill,115 Belmont Ave E,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.619044,-122.324385
Medium Risk,Capitol Hill,1201 Pine St,1912,1,No visible retrofit,Commercial,11-100,Field Visit,37.8128649,-122.3002078
High Risk,Capitol Hill,1213 E Pine St,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,33.9107289,-118.2101361
Medium Risk,Capitol Hill,1215 Seneca St,1928,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,47.611537,-122.3242647
Medium Risk,Capitol Hill,1222 Summit Ave,1916,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6123764,-122.3242172
Medium Risk,Capitol Hill,1224 Madison St,1924,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,35.3412006,-118.9945473
Medium Risk,Capitol Hill,1305 E Denny Way,1922,3,No visible retrofit,Residential,11-100,Field Visit,47.6186251,-122.3152532
Medium Risk,Capitol Hill,1305 E Madison St,1907,4,No visible retrofit,Residential,11-100,Google Street View,33.7961132,-117.8398201
Medium Risk,Capitol Hill,1319 E Madison St,1920,2,No visible retrofit,Commercial,11-100,Google Street View,37.9651964,-121.2975485
Medium Risk,Capitol Hill,1325 E Madison St,1937,1,No visible retrofit,Commercial,101+,Google Street View,47.613694,-122.3144219
Medium Risk,Capitol Hill,135 Harvard Ave E,1927,4,No visible retrofit,Residential,11-100,Google Street View,36.7742217,-119.8101072
Medium Risk,Capitol Hill,1351 E Olive Way,1925,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6165927,-122.3276775
Medium Risk,Capitol Hill,1400 Broadway,1911,2,No visible retrofit,Commercial,11-100,Google Street View,32.7159732,-117.151728
Medium Risk,Capitol Hill,1401 12th Ave,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.046371,-118.325499
Medium Risk,Capitol Hill,1406 Harvard Ave,1908,2,Visible retrofit,Residential,11-100,Field Visit,33.6512895,-117.8354039
Medium Risk,Capitol Hill,1412 12th Ave,1919,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,34.0459269,-118.3250769
Medium Risk,Capitol Hill,1412 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Field Visit,47.6134144,-122.3252027
Medium Risk,Capitol Hill,1414 Broadway,1907,2,No visible retrofit,Commercial,11-100,Field Visit,38.5619038,-121.494619
Medium Risk,Capitol Hill,1414 E Denny Way,1915,4,No visible retrofit,Residential,11-100,Google Street View,47.6189611,-122.3135363
Medium Risk,Capitol Hill,1414 Seneca St,1918,4,No visible retrofit,Residential,11-100,Google Street View,47.612643,-122.32261
Critical Risk,Capitol Hill,1415 Summit Ave,1904,2,Permitted Retrofit,Schools,101+,Google Street View,37.883744,-122.2467994
Medium Risk,Capitol Hill,1420 Broadway,1904,2,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,36.9754257,-122.0063776
Medium Risk,Capitol Hill,1421 15th Ave,1907,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,36.778261,-119.4179324
Medium Risk,Capitol Hill,1423 10th Ave,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.6136109,-122.3198029
Medium Risk,Capitol Hill,1424 10th Ave,1913,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,34.020274,-118.489139
Medium Risk,Capitol Hill,1450 E Republican St,1926,3,No visible retrofit,Residential,11-100,Google Street View,47.6233619,-122.3132634
High Risk,Capitol Hill,1500 Bellevue Ave,1910,3,No visible retrofit,Public Assembly,101+,Field Visit,34.0692512,-118.2583086
Medium Risk,Capitol Hill,1501 E Olive Way,1916,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.617949,-122.3259121
Medium Risk,Capitol Hill,1505 10th Ave,1910,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.6143738,-122.3196152
Medium Risk,Capitol Hill,1505 Broadway,1913,2,No visible retrofit,Commercial,101+,Permit Drawing Review,36.976345,-122.0055781
High Risk,Capitol Hill,1506 11th Ave,1916,2,No visible retrofit,Public Assembly,101+,Field Visit,36.778261,-119.4179324
High Risk,Capitol Hill,1510 E Olive Way,1924,3,No visible retrofit,Public Assembly,101+,Field Visit,47.6180689,-122.3261731
Medium Risk,Capitol Hill,1510 Melrose Ave,1930,2,Substantial Alteration,Commercial/Residential,11-100,Google Street View,34.0834706,-118.3366144
Medium Risk,Capitol Hill,1511 Boylston Ave,1907,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,47.6145236,-122.3237206
Medium Risk,Capitol Hill,1512 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,33.0304656,-117.2876577
Medium Risk,Capitol Hill,1514 10th Ave,1912,2,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,33.8853842,-118.3867641
Medium Risk,Capitol Hill,1514 Broadway,1909,1,No visible retrofit,Commercial,11-100,Google Street View,37.7637697,-122.2378739
Medium Risk,Capitol Hill,1515 Bellevue Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View,34.0696455,-118.2586846
Medium Risk,Capitol Hill,1515 Broadway,1912,1,No visible retrofit,Commercial,11-100,Field Visit,32.807043,-116.926215
High Risk,Capitol Hill,1515 Melrose Ave,1919,1,Substantial Alteration,Public Assembly,101+,Field Visit,37.6658846,-120.9874865
High Risk,Capitol Hill,1518 11th Ave,1915,2,No visible retrofit,Public Assembly,101+,Google Street View,47.6147979,-122.3179931
Medium Risk,Capitol Hill,1520 13th Ave,1920,2,No visible retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Capitol Hill,1520 Bellevue Ave,1918,2,No visible retrofit,Commercial/Office,11-100,Google Street View,34.0373408,-117.2012135
Medium Risk,Capitol Hill,1520 Melrose Ave,1916,4,Visible retrofit,Residential,11-100,Google Street View,37.666127,-120.986801
Medium Risk,Capitol Hill,1521 15th Ave,1910,4,No visible retrofit,Residential,11-100,Field Visit,38.5721248,-121.4890202
High Risk,Capitol Hill,1522 12th Ave,1922,1,Substantial Alteration,Public Assembly,101+,Google Street View,47.6147917,-122.3165096
Medium Risk,Capitol Hill,1525 Boylston Ave,1919,1,Substantial Alteration,Residential,11-100,Permit Drawing Review,47.6148279,-122.3237737
Medium Risk,Capitol Hill,1531 Belmont Ave,1910,4,Permitted Retrofit,Residential,11-100,Field Visit,34.0541837,-117.9484006
High Risk,Capitol Hill,1531 Melrose Ave,1912,1,Substantial Alteration,Public Assembly,101+,Field Visit,47.6147749,-122.3281061
Medium Risk,Capitol Hill,1550 E Olive Way,1924,1,No visible retrofit,Commercial,101+,Google Street View,47.6186189,-122.3257779
Medium Risk,Capitol Hill,1611 Boylston Ave,1923,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.6157062,-122.3237036
Medium Risk,Capitol Hill,1617 Boylston Ave,1921,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.615835,-122.323747
Medium Risk,Capitol Hill,1617 Yale Ave,1925,6,Permitted Retrofit,Residential,101+,Google Street View,47.6157725,-122.328385
